Station,Latitude,Longitude,Source,geometry,Region
101,37.5355,-122.16626666666667,Bay Study,"c(573659.525162899, 4154606.34385984)",Bay
102,37.5833,-122.2083,Bay Study,"c(569901.185561275, 4159877.49129359)",Bay
103,37.6033,-122.3028,Bay Study,"c(561540.956202945, 4162030.29635533)",Bay
104,37.6797,-122.2367,Bay Study,"c(567306.635517591, 4170552.08973559)",Bay
105,37.7195,-122.2708,Bay Study,"c(564265.338023066, 4174943.90757135)",Bay
106,37.702,-122.3667,Bay Study,"c(555826.580661247, 4172940.82724835)",Bay
107,37.605,-122.2858,Bay Study,"c(563040.109676281, 4162230.18434314)",Bay
108,37.6758,-122.3297,Bay Study,"c(559109.028696065, 4170056.67861678)",Bay
109,37.7392,-122.3533,Bay Study,"c(556979.326005125, 4177076.18456817)",Bay
110,37.788183333333336,-122.35618333333333,Bay Study,"c(556687.879150103, 4182509.10388524)",Bay
140,37.50185,-122.11618333333334,Bay Study,"c(578119.502988439, 4150913.40646971)",Bay
141,37.65,-122.26666666666667,Bay Study,"c(564689.954822792, 4167235.83540685)",Bay
142,37.761833333333335,-122.30533333333334,Bay Study,"c(561186.974418901, 4179617.62119401)",Bay
211,37.84473333333333,-122.38803333333334,Bay Study,"c(553842.377772624, 4188764.50529213)",Bay
212,37.8545,-122.3527,Bay Study,"c(556943.614044517, 4189869.0871574)",Bay
213,37.8325,-122.42716666666666,Bay Study,"c(550407.622972174, 4187385.37019473)",Bay
214,37.86566666666667,-122.40166666666667,Bay Study,"c(552627.986888026, 4191079.30338006)",Bay
215,37.888,-122.4242,Bay Study,"c(550630.701655775, 4193544.74648881)",Bay
216,37.9208,-122.4363,Bay Study,"c(549544.730454643, 4197177.46128426)",Bay
243,37.8842,-122.4012,Bay Study,"c(552655.839850784, 4193135.86256483)",Bay
244,37.9237,-122.468,Bay Study,"c(546756.69690486, 4197482.84815453)",Bay
306,38.000416666666666,-122.41488888846504,20mm,"c(551371.119853251, 4206022.74495239)",NA
308,38.0174444444312,-122.40438888894188,20mm,"c(552280.904104252, 4207917.88839422)",NA
311,38.02086111121707,-122.37741666687859,20mm,"c(554645.927438955, 4208312.48354865)",NA
315,38.03813888867696,-122.39361111111111,20mm,"c(553211.981603059, 4210220.13431617)",NA
317,37.989016666666664,-122.40903333333333,Bay Study,"c(551893.257075445, 4204761.12454766)",Bay
318,38.0213,-122.345,Bay Study,"c(557490.917960693, 4208380.72046652)",Bay
319,38.0403,-122.2855,Bay Study,"c(562697.241342764, 4210527.30761971)",Far West
320,38.062666666666665,-122.31716666666667,Bay Study,"c(559900.233906208, 4212988.11913265)",Far West
321,38.0662,-122.3675,Bay Study,"c(555482.125945948, 4213348.91165625)",Bay
322,38.053,-122.4138,Bay Study,"c(551429.948911035, 4211857.67766424)",Bay
323,38.0187,-122.43,Bay Study,"c(550031.967751843, 4208043.11256322)",Bay
324,37.9825,-122.412,Bay Study,"c(551637.316537951, 4204036.42950891)",Bay
325,38.03,-122.3717,Bay Study,"c(555140.850638414, 4209329.85540853)",Bay
326,38.040333333333336,-122.2855,Bay Study,"c(562697.21292038, 4210531.00611765)",Far West
327,38.04772222201029,-122.36672222222305,20mm,"c(555564.321783485, 4211299.17818588)",NA
328,38.06027777777778,-122.35,20mm,"c(557021.8164356, 4212702.40501153)",NA
329,38.06361111111111,-122.30399999989403,20mm,"c(561054.483080237, 4213101.47909346)",Far West
330,38.0285277779897,-122.32816666709051,20mm,"c(558962.643340971, 4209193.21245102)",NA
331,38.06361111111111,-122.30399999989403,20mm,"c(561054.483080237, 4213101.47909346)",Far West
334,38.07638888888889,-122.33799999978807,20mm,"c(558061.802197253, 4214497.44687247)",NA
335,38.071111111111115,-122.32399999989403,20mm,"c(559293.969813545, 4213920.69164633)",Far West
336,38.06111111111111,-122.27799999978807,20mm,"c(563337.437860871, 4212841.49230393)",Far West
338,38.060027777353916,-122.2489166662428,20mm,"c(565889.77901914, 4212741.5116034)",Far West
340,38.09922222243415,-122.26327777756585,20mm,"c(564595.424535801, 4217080.27794436)",Far West
341,38.127249999576144,-122.27877777735392,20mm,"c(563212.212176004, 4220179.46776359)",Far West
342,38.14625,-122.28875,20mm,"c(562322.014329875, 4222280.89922631)",Far West
343,38.182361111111106,-122.30927777820163,20mm,"c(560493.434181177, 4226274.09039237)",Far West
344,38.21269444465638,-122.30869444423251,20mm,"c(560519.410183086, 4229640.18937522)",Far West
345,37.9975,-122.4242,Bay Study,"c(550555.625780335, 4205694.03169051)",Bay
346,38.0555,-122.3,Bay Study,"c(561412.153791667, 4212204.14467707)",Far West
347,38.25361111111111,-122.28469444447093,20mm,"c(562585.404176154, 4234196.19734063)",Far West
348,38.27436111132304,-122.28352777777447,20mm,"c(562669.651682393, 4236499.38882804)",Far West
349,38.28633333338632,-122.28436111112435,20mm,"c(562586.47960653, 4237827.2553446)",Far West
401,38.0575833331214,-122.21244444423252,20mm,"c(569091.699075445, 4212496.77350232)",Far West
404,38.04644444465637,-122.17886111153497,20mm,"c(572048.907802223, 4211286.34803826)",Far West
405,38.03991666687859,-122.14672222243415,20mm,"c(574875.556783951, 4210587.44974504)",Far West
411,38.05022222222553,-122.07652777777777,20mm,"c(581023.920517897, 4211789.77450991)",Far West
418,38.0675,-122.09555555555555,20mm,"c(579335.763548646, 4213690.4414416)",Far West
427,38.0355,-122.1522,Bay Study,"c(574399.338901983, 4210092.99779498)",Far West
428,38.062,-122.1053,Bay Study,"c(578486.862540473, 4213071.90467286)",Far West
429,38.08583333333333,-122.07683333333334,Bay Study,"c(580957.852294098, 4215740.80501564)",Far West
430,38.1082,-122.055,Bay Study,"c(582847.328288264, 4218241.8124039)",West
431,38.1052,-122.028,Bay Study,"c(585217.934028365, 4217933.37965407)",West
432,38.0425,-122.108,Bay Study,"c(578270.766573259, 4210905.97920693)",Far West
433,38.060116666666666,-121.98281666666666,Bay Study,"c(589234.162304993, 4212973.46964221)",West
447,38.05591666666667,-122.17833333333333,Bay Study,"c(572085.926650072, 4212337.75534968)",Far West
501,38.07333333333334,-122.0263333331214,20mm,"c(585401.129373644, 4214399.06091521)",West
504,38.051944444444445,-121.98608333322737,20mm,"c(588957.47359615, 4212063.5696838)",West
508,38.047166666454736,-121.91722222222222,20mm,"c(595005.449224376, 4211601.58427799)",West
513,38.05886111100514,-121.86775000002649,20mm,"c(599330.583850922, 4212950.90109862)",West
519,38.074750000105965,-121.9580833334393,20mm,"c(591385.786208512, 4214621.19141859)",West
520,38.032166666454735,-121.86311111132304,20mm,"c(599773.785152825, 4209993.90113176)",West
534,38.07145,-121.9562,Bay Study,"c(591555.090503493, 4214256.88467543)",West
535,38.04731666666667,-121.91766666666666,Bay Study,"c(594966.257711083, 4211617.77379882)",West
602,38.11555555555556,-122.04239166683621,20mm,"c(583944.29464792, 4219069.29725767)",West
606,38.170583333439296,-122.02791666666667,20mm,"c(585149.220412441, 4225188.29386537)",West
609,38.16708333333333,-121.93783333354527,20mm,"c(593044.687385124, 4224886.51547718)",West
610,38.12219444433848,-121.8891111108992,20mm,"c(597372.483232963, 4219955.6755786)",West
703,38.04861111111111,-121.79738888846504,20mm,"c(605518.188204412, 4211891.11897815)",West
704,38.06658333354526,-121.79031111134422,20mm,"c(606113.262515775, 4213893.36057175)",West
705,38.09761111153497,-121.70875000000001,20mm,"c(613220.178642449, 4217432.51143237)",North
706,38.08608333322737,-121.75044444445106,20mm,"c(609581.371198824, 4216103.36211278)",West
707,38.1146944448683,-121.70786111089919,20mm,"c(613271.735972478, 4219329.17753021)",North
711,38.17741666687859,-121.66224999957615,20mm,"c(617169.889715957, 4226345.61807543)",North
712,38.19147222201029,-121.63922222243416,20mm,"c(619164.016475426, 4227934.62963012)",North
716,38.23855555534363,-121.68391666664019,20mm,"c(615175.683077734, 4233102.59912409)",North
718,38.25755555576748,-121.72902777777777,20mm,"c(611198.717594636, 4235155.72406704)",North
719,38.33350000000662,-121.64750000000001,20mm,"c(618208.670333625, 4243684.0319679)",North
720,38.26263888888889,-121.77927777820163,20mm,"c(606794.688519543, 4235660.58096708)",North
723,38.237250000105966,-121.67308333343931,20mm,"c(616125.867904606, 4232971.26712036)",North
724,38.25625,-121.65208333333334,20mm,"c(617933.064209095, 4235106.14017759)",North
726,38.283055555555556,-121.6438333331214,20mm,"c(618611.297814488, 4238091.15413857)",North
736,38.06033333333333,-121.80433333333333,Bay Study,"c(604892.121034674, 4213183.94365442)",West
750,38.084666666666664,-121.75,Bay Study,"c(609622.464545657, 4215946.69322089)",West
751,38.1055,-121.717,Bay Study,"c(612484.670535491, 4218297.83935748)",North
752,38.1042,-121.7125,Bay Study,"c(612881.216379145, 4218159.05289689)",North
760,38.15233333333333,-121.68483333333333,Bay Study,"c(615231.278320322, 4223534.00576659)",North
761,38.167833333333334,-121.67716666666666,Bay Study,"c(615878.499951903, 4225263.47446549)",North
762,38.175,-121.657,Bay Study,"c(617633.628692303, 4226084.10883518)",North
801,38.043694444232514,-121.84400000042385,20mm,"c(601435.134042764, 4211293.68316271)",West
802,38.020833333333336,-121.73038888931275,20mm,"c(611439.144375941, 4208887.0970401)",West
804,38.01644444465637,-121.79130555576748,20mm,"c(606098.360827174, 4208328.87112972)",West
809,38.05377777788374,-121.69302777820164,20mm,"c(614667.23484528, 4212588.03314095)",South
812,38.089916666878594,-121.6399166668786,20mm,"c(619268.437948329, 4216664.90556499)",South
815,38.08713888883591,-121.57113888899485,20mm,"c(625304.736583385, 4216447.25412918)",South
837,38.0245,-121.76,Bay Study,"c(608834.527172029, 4209258.87849334)",West
853,38.0285,-121.737,Bay Study,"c(610847.283023967, 4209729.88241735)",West
863,38.09145,-121.6511,Bay Study,"c(618285.233577434, 4216820.74070747)",South
864,38.101166666666664,-121.598,Bay Study,"c(622925.519228569, 4217967.89689852)",South
865,38.086666666666666,-121.57633333333334,Bay Study,"c(624849.987649919, 4216387.85873791)",South
901,38.04625,-121.61849999997351,20mm,"c(621218.64592867, 4211847.32628539)",South
902,38.020388888782925,-121.5826666662428,20mm,"c(624406.712019575, 4209025.09243538)",South
906,38.05002777777819,-121.50647222201029,20mm,"c(631042.220595575, 4212418.54998892)",South
910,38.005,-121.45302777767182,20mm,"c(635814.836183686, 4207498.8669622)",South
912,37.966416666242814,-121.36855555560854,20mm,"c(643306.514433262, 4203344.24876707)",South
914,37.971499999894036,-121.52,20mm,"c(629993.864693501, 4203686.01593592)",South
915,37.94427777820163,-121.56788888891538,20mm,"c(625833.836317372, 4200599.65762102)",South
918,37.859000000423855,-121.56713888890214,20mm,"c(626045.136492103, 4191138.34990333)",South
919,38.10519444465638,-121.49458333333334,20mm,"c(631986.194185303, 4218556.82895558)",South
